who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
423930,Q1756747,6th Prime Minister of Dominica,2004-01-08,,Q1293269,Pierre Charles,,,0
423930,Vieille Case,MP for Vieille Case,2000-01-31,,Vernice Bellony,Vernice Bellony,,,1
