itemLabel,positionLabel
Roosevelt Skerrit,Prime Minister
Roosevelt Skerrit,"Minister of Finance, Economic Affairs, Investment, Planning, Sustainable Development, Telecommunications and Broadcasting"
Reginald Austrie,Senior Minister and Minister of Housing and Urban Development
Rayburn Blackmore,Minister of National Security and Home Affairs
Dr Kenneth Darroux,"Minister of Foreign Affairs, International Business and Diaspora Relations"
Fidel Grant,"Minister of the Blue and Green Economy, Agriculture and National Food Security"
Denise Charles,"Minister of Tourism, International Transport and Maritime Initiatives"
Dr Adis King,"Minister of Youth Development and Empowerment, Youth at Risk, Gender Affairs, Seniors’ Security, and Dominicans with Disabilities"
Ian Douglas,"Minister of Trade, Commerce, Entrepreneurship, Innovation, Business and Export Development"
Gretta Roberts,"Minister of Governance, Public Service Reform, Citizen Empowerment, Social Justice and Ecclesiastical Affairs"
Cozier Frederick,"Minister of the Environment, Rural Modernization and Kalinago Upliftment"
Dr Irving Mcintyre,"Minister of Health, Wellness and New Health Investment"
Cassani Laville,Minister of Public Works and the Digital Economy
Roselyn Paul,"Minister of Sports, Culture and Community Development"
Octavia Alfred,"Minister of Education, Human Resource Planning, Vocational Training and National Excellence"
Chekira Lockhart-Hypolite,"Parliamentary Secretary in the Ministry of Tourism, International Transport and Maritime Initiatives, with special responsibility for Air and Sea Port Operations"
Kent Edwards,"Parliamentary Secretary in the Ministry of Health, Wellness and New Health Investment, with particular responsibility for Community and Home Care"
Levi A. Peter,Attorney-General
